NCT Number,Study Title,Brief Summary,Conditions,Primary Outcome Measures,Secondary Outcome Measures,Start Date,Study Documents
NCT06673862,Changes in Pulse-Oximetry Perfusion Index Induced by Tidal Volume Challenge Versus Fluid Volume Challenge to Detect Preload Responsiveness in Mechanically Ventilated Patients With Low Tidal Volume,"The primary goal of this study was to assess the ability of PI changes induced by a Vt challenge or fluid challenge test to detect preload responsiveness in critically ill adult patients on mechanical ventilation with low-tidal volume.

The secondary aims were (i) to compare the changes in PI with VTI during a Vt challenge test (ii) to compare the changes in VTI and PI during a volume expansion challenge test, (iii) to compare the Vt-induced changes in PI to changes induced by fluid challenge test, (iv) to compare the Vt-induced changes in VTI to changes induced by fluid challenge test.",To Assess the Ability of PI to Detect Preload Responsiveness,"The ability of perfusion index to detect preload responsiveness, The primary goal of this study was to assess the ability of PI changes induced by a Vt challenge or fluid challenge test to detect preload responsiveness in critically ill adult patients on mechanical ventilation with low-tidal volume., Approximately one hour","Compare the changes in PI with VTI during a Vt challenge test, Approximately one hour|Compare the changes in VTI and PI during a volume expansion challenge test, Approximately one hour|Compare the Vt-induced changes in PI to changes induced by fluid challenge test, Approximately one hour",2024-09-01,"Study Protocol and Statistical Analysis Plan, https://cdn.clinicaltrials.gov/large-docs/62/NCT06673862/Prot_SAP_000.pdf"
NCT06673134,Prospective Cohort Establishment and Clinical Observation of Children With Crohn's Disease,"To evaluate the clinical manifestations, treatment options, and improved clinical outcomeof children with Crohn's disease in real-world Settings: (1) analysis of clinical manifestations; (2) probability of using the same treatment options; (3) Clinical outcome;",Crohn Disease,"To evaluate the clinical manifestations, treatment options, and clinical outcomes of Crohn's disease in children in real-world Settings, 14 weeks clinical response rate., 14 weeks","Clinical remission of different treatment regimens, Clinical remission rates at 14 and 54 weeks ( Pediatric Crohn's Disease Activity Index (PCDAI)≤10, PCDAI\<10.0 was defined as the stage of clinical remission, 10.0\~27.5 as the stage of clinical mild activity, 30.0\~37.5 as the stage of clinical moderate activity, and 40.0\~100.0 as the stage of clinical severe activity.), 14 and 54 weeks|Clinical response of different treatment regimens, Clinical response rate at 54 weeks (PCDAI reduction ≥15 points and total PCDAI≤30 points), 54 weeks|Endoscopic response of different treatment regimens, Endoscopic response rate at 14 and 54 weeks ((Simple Endoscopic Score for CD (SES-CD)≤2(the higher the score, the more severe the disease, heavy activity (SES-CD): \>15 points) ), 14 and 54 weeks|Mucosal healing of different treatment regimens, Mucosal healing rate at 14 and 54 weeks ((Simple Endoscopic Score for CD (SES-CD)=0 (the higher the score, the more severe the disease, heavy activity (SES-CD): \>15 points) );, 14 and 54 weeks|C-reactive protein of different treatment regimens, Changes of serum C-reactive protein from baseline at 14 and 54 weeks;, 14 and 54 weeks|Erythrocyte sedimentation rate of different treatment regimens, Changes of serum erythrocyte sedimentation rate from baseline at 14 and 54 weeks;, 14 and 54 weeks|Fecal calprotectin of different treatment regimens, Changes of serum fecal calprotectin from baseline at 14 and 54 weeks;, 14 and 54 weeks|Intestinal flora of different treatment regimens, Changes in intestinal flora from baseline at 14 and 54 weeks; Fecal 16S rDNA or metagenome sequencing was performed. Fecal samples were obtained from donor and recipient. The fecal samples and isolated microbiota samples were frozen immediately and underwent DNA extraction using standard methods, 14 and 54 weeks",2023-12-01,"Study Protocol and Statistical Analysis Plan, https://cdn.clinicaltrials.gov/large-docs/34/NCT06673134/Prot_SAP_000.pdf"
NCT06672497,Near Infrared Spectroscopy (NIRS) as a Method for Measuring Oxidative Capacity of Skeletal Muscle Mitochondria in Breast Cancer and All Gynecological Cancer Patients,"Participants recruited for this study will be breast cancer or gynecological cancer patients who agree to participate in an exercise study examining the effects of chemotherapy on muscle mitochondrial oxidative capacity, a measure of skeletal muscle health. Participants will ride a stationary bicycle and the quadriceps muscle will be non-invasively evaluated.",Breast Cancer|Gynecologic Cancers|Mitochondrial Function,"Muscle mitochondrial oxidative capacity, Study staff will measure O2Hb, HHb, and TSI, via the NIRS PortaMon device during the on-off kinetics protocol., From enrollment to the end of chemotherapy treatment, an average of 12 weeks","Whole body oxygen uptake via indirect calorimetry, We also will measure ventilatory whole-body components including O2 and CO2 via the Parvomedics metabolic cart., From enrollment to the end of chemotherapy treatment, an average of 12 weeks",2021-09-07,"Study Protocol and Statistical Analysis Plan, https://cdn.clinicaltrials.gov/large-docs/97/NCT06672497/Prot_SAP_000.pdf|Informed Consent Form, https://cdn.clinicaltrials.gov/large-docs/97/NCT06672497/ICF_001.pdf"
NCT06672406,Effect of Probiotic Lacobacillus Reuterii on Serum Bilirubin Levels in Preterm Infants,"The goal of this clinical trial is to learn about the effect of probiotic Lactobacillus reuterii on the level of serum bilirubin in moderately and late preterm infants with birth weights 1000 grams to 2499 grams who were admitted to the NICU at Dr. Wahidin Sudirohusodo Hospital, Hasanuddin University Hospital and Cahaya Medika Hospital. The main questions it aims to answer are:

* Are bilirubin levels in preterm infants who received probiotics were lower than those who did not receive probiotics?
* Is the incidence of hyperbilirubinemia requiring phototherapy in preterm infants who received probiotics less than those who did not receive probiotics?","Hyperbilirubinemia, Neonatal","Total bilirubin level, We compare the total bilirubin level between participants who received probiotics and those who did not receive probiotics, Total bilirubin level was measured after 7th day of intervention",,2024-01-01,"Study Protocol and Statistical Analysis Plan, https://cdn.clinicaltrials.gov/large-docs/06/NCT06672406/Prot_SAP_000.pdf"
NCT06672159,Initial Double Sequential External Defibrillation in Out of Hospital Cardiac Arrest,"Double Sequential External Defibrillation (DSED) represents an alternative treatment of refractory ventricular fibrillation (rVF) in out-of-hospital cardiac arrest (OHCA). The procedure consists of two defibrillators that administer shocks at the same time.

Currently, the procedure is not initiated before at least three failed attempts with one defibrillator. This can delay the potential benefits of establishing DSED earlier in the treatment. Studies have shown that early defibrillation is crucial for survival in OHCA patients, and in 2022, a clinical trial showed that survival in patients treated with DSED was higher compared to standard treatment.

The effect of initiating OHCA treatment is unknown. The DUALDEFIB trial seeks to investigate if treating OHCA patients with DSED as an initial treatment will increase survival and provide improved neurological outcome.",Cardiac Arrest|Out-Of-Hospital Cardiac Arrest|Ventricular Fibrillation,"Proportion of patients that survive to hospital admission., Number of patients arriving with ROSC in hospital emergency facility., 24 hours","Proportion of patients that survive for 30 days, Number of patients that have survived OHCA incident after 30 days., 30 days|Review of 30 day neurological status., Modified Rankin Scale (1 No significant disability - 5 Severe disability) defines neurological outcome of OHCA., 30 days|Proportion of patients that survive for 90 days, Number of patients that have survived OHCA incident after 90 days., 90 days|Review 90 day neurological status., Modified Rankin Scale (1 No significant disability - 5 Severe disability) defines neurological outcome of OHCA., 90 days|Proportion of patients that survive for one year., Number of patients that have survived OHCA incident after 365 days., 365 days",2024-12,"Study Protocol, https://cdn.clinicaltrials.gov/large-docs/59/NCT06672159/Prot_000.pdf"
NCT06672003,Assessing the Relationship Between Chronic Pain and Frailty in Older Adults,"Pain is an unpleasant emotional sensation related to one's past experiences, originating from a certain part of the body, due to tissue damage or not. Pain is the most commonly reported symptom in the elderly. Chronic pain is persistent or recurrent pain lasting more than 3 months. It is a maladaptive process or a disease that requires multimodal treatment that causes functional decline, independent of the healing process, accompanied by affective, cognitive and motivational disorders, and deterioration in quality of life. Frailty: It is defined as a clinical condition characterized by weakness, physical disability, functional regression, inadequacy in activities of daily living, and increased dependence, which develops as a result of the decrease in physiological reserves in the body with age. It has been reported that the risk of falls, disability, hospitalization and premature death is higher in the frail elderly. The prevalence of vulnerability in societies varies. Frailty rates ranging from 4 to 59% have been reported in developed and developing countries. In this study, it was aimed to evaluate whether there is a relationship between chronic pain and frailty in individuals aged 65 and over.",Chronic Pain|Frailty,"frailty, Participants' frailty levels will be determined., 12 months|chronic pain, The relationship between participants' frailty levels and chronic pain frequency will be examined., 6 months",,2023-11-01,"Study Protocol, https://cdn.clinicaltrials.gov/large-docs/03/NCT06672003/Prot_000.pdf"
NCT06669507,The Sleep Clinic Outcome and Practice Study,"The goal of this clinical trial is to explore the outcome and practice treatment for sleep-wake disturbances in a Sleep Clinic. The main questions it aims to answer are:

* What is the practice (timing and duration of treatment components) of sleep-wake disturbance treatment?
* What is the treatment effect of sleep-wake disturbance treatment.

Participants will receive treatment as usual by consultations with a trained psychiatrist or psychologist and will be asked to fill out self-reporting questionnaires and sleep diaries.",Insomnia Disorder|Circadian Rhythm Sleep Disorder,"Sleep treatment practice, Timing and duration of sleep treatment componements, Through study completion, an average of 8 weeks.|Sleep treatment outcome, 1. Insomnia Severity Index for insomnia disorder
2. Insomnia Severity Index with additional question for sleep-wake rhythm disorders, Through study completion, an average of 8 weeks.","Testing the effectiveness of sleep treatment outcomes in different modes of treatment delivery, 1. Group versus individual delivery of sleep treatment.
2. Telemedicine versus face-to-face delivery of sleep treatment, Through study completion, an average of 8 weeks.",2025-01-01,"Study Protocol, https://cdn.clinicaltrials.gov/large-docs/07/NCT06669507/Prot_000.pdf|Informed Consent Form, https://cdn.clinicaltrials.gov/large-docs/07/NCT06669507/ICF_001.pdf"
NCT06668077,Inhibitory Control Training and iTBS for Excess Weight: Behavioral and Brain Changes (InhibE).,"People with excess weight (EW) are characterized by high impulsivity, high levels of craving for high-calorie foods, deficits in inhibitory control, and maladaptive decision-making. These characteristics are related, at the brain level, to alterations in the activation of areas such as the dorsolateral prefrontal cortex (DLPFC) and its connectivity. The proposed intervention seeks to target these issues. Thus, the present study aims to characterize the effects of neuromodulation with intermittent theta burst transcranial magnetic stimulation (iTBS) of the DLPFC alone and in combination with inhibitory control training to produce brain, cognitive and behavioral changes, and modify altered biological parameters in people with EW. Participants will be randomly allocated to one of three groups: (1) a group that will receive active iTBS of the DLPFC combined with inhibitory control training with a food Go/No-go paradigm, (2) a group that will receive active iTBS of the DLPFC only, and (3) a control group that will receive sham iTBS. It is hypothesized that the combined intervention will obtain better results that the neuromodulation alone, and that both interventions, compared to sham iTBS, will achieve: (i) decreased body mass index, (ii) decreased craving, (iii) modified brain connectivity and activation both at rest and linked to task performance with food stimuli, (iv) improved anthropometric measures (waist circumference and waist-to-hip and waist-to-height ratios), (v) improved eating and exercise behaviors (decreased caloric intake and increased frequency and time of physical activity), (vi) improved emotional symptoms and emotional eating (depression, anxiety, emotional regulation, emotional eating, reward-related eating, non-homeostatic eating), (vii) improved cognitive abilities (motor and cognitive inhibition, delay of gratification, impulsivity, working memory, cognitive flexibility and decision making), (viii) changes in biological parameters associated to the interventions (plasma and microbiota), and (ix) advantages in cost-effectiveness and cost-utility based on economic evaluation analyses.","Overweight and Obesity|Inhibition, Psychological","Body Mass Index (BMI), Change in BMI: Weight and height will be combined to report BMI in kg/m\^2. Weight will be obtained in kilograms with a digital scale (TANITA Corporation of America) and height in meters with a measuring rod (SECA Tape Measure 206)., Pre-treatment assessment (week 2), post-treatment assessment (week 6) and follow-up (week 18)|Changes in brain activation during a inhibitory control task (neuroimaging measures), Food Go/No-go task (Based on the FoodTrainer App; Lawrence et al., 2015): Pictures appear and afterwards a green (Go signal) or red (No-Go signal) circle appears around them. Participants are instructed to score points by answering with a knob if the image is surrounded by a green circle, but not to press when the image is surrounded by a red circle. The presentation of the images is the same as in the FoodTrainer application: 50% of the images are food, with 100% of the healthy ones being presented under the 'Go' condition and 100% of the unhealthy ones under the 'No-Go' condition. The remaining 50% are non-food images, with 50-50% paired with 'Go' and 'No-Go' cues. In addition, participants can choose which categories of unhealthy foods they want to train. Brain activation to Go vs. No-Go stimuli and food vs. non-food stimuli will be compared. The task will be analysed to assess the brain activity associated with the task, using a psychophysiological interaction analysis(PPI)., Pre-treatment assessment (week 2) and post-treatment assessment (week 6)","Changes in Food decision-making (neuroimaging measures), The Neveu et al. (2018) task will be used, which consists of three phases: two rating phases and one decision phase with 50 food images. Participants have to answer on a 5-point Likert scale how healthy they consider the food to be (block 1) and how much they like the taste of the food (block 2). In the third block, the participant decides whether they prefer to eat a neutral reference food (calculated from the previous two blocks) or an alternative food. These forced choices lead to cognitive conflict when the reference food is considered tastier and the alternative food healthier or vice versa. Among trials with cognitive conflict, the choice of the healthier food is defined as a controlled choice, and the choice of the tastier food as an uncontrolled choice. Activation will be compared between the controlled vs. uncontrolled choice conditions.

The task will be analysed to assess the brain activity associated with the task, using a psychophysiological interaction analyses (PPI)., Pre-treatment assessment (week 2) and post-treatment assessment (week 6)|Changes in Brain connectivity at rest (neuroimaging measures), Participants will be instructed to remain still, with their eyes closed, trying not to think about anything in particular for 9 minutes to obtain images to study the resting connectivity of different brain networks. On the one hand, an independent component analyses (ICA) will be performed, which will allow comparison of the different brain networks, as a whole, between the groups, with special interest in those that have been shown to be altered in the PD population. On the other hand, seed-based connectivity analyses will be performed, in which changes in functional connectivity between the CPFDL and the rest of the brain will be observed., Pre-treatment assessment (week 2) and post-treatment assessment (week 6)|Changes in White matter integrity (neuroimaging measures), Participants will be asked to remain still for 10 minutes to obtain diffusion tensor imaging (DTI) which provides indirect measurements of the architecture and connectivity of white matter fibres. The study of the DTI images will be carried out with the FSL programme, which allows the integrity of the white matter of the different groups to be measured by evaluating the fractional anisotropy (FA) and apparent diffusion coefficient (ADC) maps., Pre-treatment assessment (week 2) and post-treatment assessment (week 6)|Waist circumference (WC). Mean change from baseline at post-intervention, To take these measurements at home, participants should ask someone for help and follow our instructions. WC will be measured in cm with a tape around the waist, just above the navel., Pre-treatment assessment (week 2), post-treatment assessment (week 6) and follow-up (week 18)|Waist-to-hip ratio (WHR). Mean change from baseline at post-intervention, To take these measurements at home, participants should ask someone for help and follow our instructions. WHR results from WC divided by the hip circumference in cm (tape placed at the maximum prominence of the buttocks)., Pre-treatment assessment (week 2), post-treatment assessment (week 6) and follow-up (week 18)|Waist-to-height ratio (WHtR). Mean change from baseline at post-intervention, To take these measurements at home, participants should ask someone for help and follow our instructions. WHtR results from WC divided by the height measured standing with heels close together and trunk erect., Pre-treatment assessment (week 2), post-treatment assessment (week 6) and follow-up (week 18)|Food Craving. Mean change from baseline at post-intervention, Change in Food Craving. Food Craving Questionnaire State-reduced (FCQ-S-r)consists of 15 items to be scored on a 5-point scale ranging from strongly disagree to strongly agree. A higher score indicates higher state of craving at the time of the assessment, Pre-treatment assessment (week 2), post-treatment assessment (week 6) and follow-up (week 18)|Eating behaviour. Mean change from baseline at post-intervention, Diet information during the last year (pre-treatment), two last weeks (post-treatment) and 3 last months (follow-up) will be collected through a 52-item Food frequency questionnaire (CFA). Participants must record quantities of all the foods and drinks consumed during those periods. Data are transformed into total calories and calories from fats, carbohydrates, and sugars, Pre-treatment assessment (week 2), post-treatment assessment (week 6) and follow-up (week 18)|Physical activity behaviour. Mean change from baseline at post-intervention, International Physical Activity Questionnaire (IPAQ; www.ipaq.ki.se): is a questionnaire with 7 questions on physical activity during the last week, as well as walking and sitting time.It evaluates physical activity related to work, activity at home and free time determines the degrees of activity based on the metabolic equivalents (MET) consumed.Higher scores indicate greater physical activity, Pre-treatment assessment (week 2), post-treatment assessment (week 6) and follow-up (week 18)|Depression symptoms. Mean change from baseline at post-intervention, Beck Depression Inventory will be administered to test depression symptoms.The scores range from 0 to 63 points. The higher the score, the greater the severity of depressive symptoms, Pre-treatment assessment (week 2), post-treatment assessment (week 6) and follow-up (week 18)|Anxiety and Stress. Mean change from baseline at post-intervention, The Depression Anxiety Stress Scale-21 (DASS-21) will be used, taking into account scores on the stress and anxiety subscales. The scores for both subscales range from 0 to 21, a higher score indicating higher anxiety or stress, Pre-treatment assessment (week 2), post-treatment assessment (week 6) and follow-up (week 18)|Non homeostatic eating. Mean change from baseline at post-intervention, Dutch Eating Behaviour Questionnaire (DEBQ) will be administered to assess restrictive eating behaviours related to external cues and emotional states. Higher scores in each subscale reflect higher level of restrained, emotional, and external eating, respectively.The DEBQ uses a 5-point Likert scale, ranging from never (1) to very often (5). The average score is calculated for each subscale by adding scores obtained from individual items and dividing them by the number of items included in a subscale (mean range: 1-5)., Pre-treatment assessment (week 2), post-treatment assessment (week 6) and follow-up (week 18)|Reward-related eating. Mean change from baseline at post-intervention, Reward-Based Eating Scale (RED) is a 13 items questionnaire that evaluates worries about foods, losing intake control and absence of satiety. Higher scores reflect higher reward-based eating drive., Pre-treatment assessment (week 2), post-treatment assessment (week 6) and follow-up (week 18)|Emotional eating. Mean change from baseline at post-intervention, Coping subscale of the Palatable Eating Motives Scale (PEMS) will be used to evaluate the intentionality for eating palatable foods to face negative emotions. The coping subscale includes items that are scored on a 5-point Likert-type scale, the total range being from 5 to 25 points. Low scores indicate that the person rarely resorts to the consumption of pleasant foods as a strategy to cope with negative emotions or stressful situations. High scores suggest that the person frequently uses palatable food as a strategy to cope with stress or negative emotions, which may be related to unhealthy eating habits or emotional eating patterns., Pre-treatment assessment (week 2), post-treatment assessment (week 6) and follow-up (week 18)|Emotion Regulation Strategies. Mean change from baseline at post-intervention, The Emotion Questionnaire (ERQ) consists of 10 items to examine cognitive reappraisal and expressive suppression strategies. In cognitive reappraisal the highest score (42) is associated with better emotional outcomes while in expressive suppression the highest score (28) is linked to poorer well-being. Each item is rated on a Likert scale from strongly disagree (1) to strongly agree (7)., Pre-treatment assessment (week 2), post-treatment assessment (week 6) and follow-up (week 18)|Motor inhibition. Mean change from baseline at post-intervention, Motor inhibition will be assessed using FoodT. In the FoodT app reaction time for the high-calorie and low-calorie foods paired with the go and the no-go signal. The average response time for go and no-go items will be calculated according to the type of images (appetizing and healthy foods), and commission errors will be recorded., Pre-treatment assessment (week 2), post-treatment assessment (week 6) and follow-up (week 18)|Cognitive inhibition. Mean change from baseline at post-intervention, Using a Stroop task with food, the interference of food-related words on task performance can be measured as an assessment of cognitive inhibition., Pre-treatment assessment (week 2), post-treatment assessment (week 6) and follow-up (week 18)|Delay of gratification. Mean change from baseline at post-intervention, Score on the Food Delay Discounting will be used to measure the sensitivity to immediate rewards vs higher value rewards delayed. The participant\&#39;s choices are recorded for each trial. Each trial varies in terms of the amount of reward and the amount of time to wait. To model the decisions, a hyperbolic discounting function is generally used., Pre-treatment assessment (week 2), post-treatment assessment (week 6) and follow-up (week 18)|Inhibition and activation systems. Mean change from baseline at post-intervention, This will be assessed using the Punishment Sensitivity and Reward Sensitivity Questionnaire (PSRSQ) of 48 items. Responses in the scale are in a \&#34;yes/no\&#34; format. Higher punishment sensitivity scores are associated with lower number of punishable errors while higher reward sensitivity scores are linked to higher number of passive avoidance errors., Pre-treatment assessment (week 2), post-treatment assessment (week 6) and follow-up (week 18)|Self-reported impulsivity. Mean change from baseline at post-intervention, Self-reported impulsivity will be measured with Impulsive behaviour scale (UPPS-P). It consists of 20 items scored on a four point Likert scale, ranging from strongly agree (1) to strongly disagree (4). Higher scores mean worse outcome in impulsivity, while lower scores are related to better self-control and regulation, Pre-treatment assessment (week 2), post-treatment assessment (week 6) and follow-up (week 18)|Working Memory. Mean change from baseline at post-intervention, Working Memory will be assessed using N-back Task score based on accuracy and reaction times. Higher accuracy scores indicate stronger working memory and attention, while faster reaction times are linked to quicker processing speed and decision-making., Pre-treatment assessment (week 2), post-treatment assessment (week 6) and follow-up (week 18)|Cognitive flexibility. Mean change from baseline at post-intervention, Wisconsin Card Sorting Test will be administered to measure shift strategy in response to changing contingencies. There are128 trials where more correct responses, fewer perseverative and non perseverative errors, and more completed categories (max 6) are related to better performance, Pre-treatment assessment (week 2), post-treatment assessment (week 6) and follow-up (week 18)|Decision making. Mean change from baseline at post-intervention, Iowa Gambling Task will be used to assess decision-making using money rewards., Pre-treatment assessment (week 2), post-treatment assessment (week 6) and follow-up (week 18)",2024-11,"Study Protocol and Statistical Analysis Plan, https://cdn.clinicaltrials.gov/large-docs/77/NCT06668077/Prot_SAP_000.pdf|Informed Consent Form, https://cdn.clinicaltrials.gov/large-docs/77/NCT06668077/ICF_001.pdf"
NCT06667817,Exercise From Afar: Progressing At Risk Individuals to Independent Exercise,"The purpose of this study is to investigate the efficacy of a technology-driven independent exercise program on health outcomes associated with dementia risk among underactive rural adults.

Underactive adults (n=50), ages 40-70 years, from federally designated rural and frontier Kansas counties will be recruited to participate in this study. Specific inclusionary and exclusionary criteria will be used to screen potential participants and determine eligibility. Following recruitment and screening, participants will complete baseline physical fitness and health assessments, supervised by the research team. Following completion of baseline assessments, a personal training/fitness app will be employed to design and deliver exercise programming and track exercise participation, adherence and progression over the course of the study. All prescribed exercise will follow national governing body recommendations and include specific exercises found in previous work to be beneficial for physical health and brain plasticity. The study team will record exercise instruction videos that can be accessed by all participants at any time throughout the study. The particular app used will allow the research team to organize exercise videos into structured training sessions, allowing participants to exercise on their own, at the location of their choice, with ample instruction. The app will also allow participants to record themselves performing various exercises and send them to the research team for analysis of technique and safety. Communication between study personnel and participants will be delivered via the app. Phone calls and/or Zoom sessions will be offered as an alternative if necessary. Our goal is to create a safe, effective means of delivering personalized exercise programming to rural adults that reduces barriers to exercise, improves physical fitness and biomarkers associated with dementia risk and lends itself to exercise adherence in a population that is at an increased risk for cognitive decline. Middle aged adults will be included in the study as they are at an age when successful behavior change is more probable (than older, institutionalized adults); older adults will be included as they are in the high-risk category for dementia. Following the exercise intervention, all baseline assessments will be repeated. Data will be compared to determine the impact of the exercise program on each variable (i.e. dementia risk biomarkers, QOL, physical fitness, etc.).",Sedentary Behavior,"Determine the impact of a technology-driven exercise program on exercise adherence., Exercise log data will be used to determine exercise adherence. Exercise adherence will be reported as the percentage of total exercise sessions completed over the course of the 16-week exercise study period. Exercise adherence will be tracked and recorded for EX participants only, since CON participants will not complete any exercise during the 16-week study period. The investigators hypothesize that Rural adults will report moderate to high adherence (70-80% total sessions completed) over the course of the study., 16 weeks per participant enrolled|Determine the impact of a technology-driven exercise program on barriers to being physical active., Participants will complete the BBAQ (Barriers to Being Active Quiz) at baseline and following the 16-week exercise study period (following 16 weeks of intervention or control). The results will be compared to determine statistical differences, if any, in barriers to participating in exercise between time points and between groups (EX vs CON). Participants assigned to the exercise group will log their exercise using the smart phone application for the entire 16-week study period. Higher scores on the BBAQ equate to a greater number of barriers to being active. The investigators hypothesize that Rural adults will report fewer barriers to being active (lower BBAQ scores) following 16 weeks of the technology-driven exercise intervention., 16 weeks per participant enrolled|Determine the impact of a technology-driven exercise program on exercise self-efficacy., Participants will complete the Exercise Self-Efficacy Scale at baseline and following the 16-week exercise study period (following 16 weeks of intervention or control). The results will be compared to determine statistical differences, if any, between time points and between groups (EX vs CON). The investigators hypothesize that Rural adults will report higher exercise self-efficacy (higher Self-Efficacy Scale scores) following the intervention (compared to CON participants)., 16 weeks per participant enrolled|Determine the impact of a technology-driven exercise program on cholesterol and fasting blood glucose., Fasting blood glucose and cholesterol are measured simultaneously using a Cholestek device. This measure will be completed by all participants at baseline, and again at follow-up (following 16 weeks of intervention or control). The investigators hypothesize that participants in the EX group (exercise intervention) will see greater improvements in total cholesterol, fasting blood glucose and LDL following the intervention, compared to the CON group. The investigators expect that participants with higher exercise adherence will see the greatest improvements in these biomarkers associated with reduced dementia risk., 16 weeks per participant enrolled|Determine the impact of a technology-driven exercise program on cardiorespiratory fitness., Participants will also complete a common cardiorespiratory field test at baseline and again at follow-up (after 16 weeks of intervention or control). The investigators hypothesize that cardiorespiratory fitness scores will improve for EX participants following the 16-week intervention and that the post-intervention cardiorespiratory field test scores will be significantly better than those of the CON group., 16 weeks per participant enrolled|Determine the impact of a technology-driven exercise program on muscular fitness., Participants will complete an repetition maximum muscular fitness test at baseline and again at follow-up (after 16 weeks of intervention or control). The investigators hypothesize that muscular fitness will improve for EX participants following the 16-week intervention and that the post-intervention muscular fitness results will be significantly better than those of the CON group., 16 weeks per participant enrolled",,2024-11-01,"Study Protocol, https://cdn.clinicaltrials.gov/large-docs/17/NCT06667817/Prot_000.pdf|Statistical Analysis Plan, https://cdn.clinicaltrials.gov/large-docs/17/NCT06667817/SAP_001.pdf|Informed Consent Form, https://cdn.clinicaltrials.gov/large-docs/17/NCT06667817/ICF_002.pdf"
NCT06667505,To Test an e-Health Educational Intervention Patients With an ICD,"Role of the implantable cardioverter defibrillator (ICD) is to monitor heart rate and discharge a small electrical discharge or shock if the heart rate becomes life threatening. Patients and family members have requested more information about their ICD, how it works and how to live well with the device. This study will build on previous research by designing, in collaboration with patients, family members and professionals, an online resource to provide important information that can lower anxiety and concerns, and improve quality of life. The CHOICE-ICD resource will be easy to use, incorporating games and quizzes to encourage engagement, up to date information appropriate to each patient's needs, as well as animation clips, virtual reality, and short patient videos. CHOICE-ICD will be made available to 64 patients, in addition to normal care, awaiting or with a recently implanted ICD in Belfast and Glasgow. Patients will use the resource for 3 months. Patients and family members will then be asked to complete questionnaires and participate in semi-structured interviews. This study will develop 1st UK online resource providing information to enable patients to have greater choice and control in their care.",Implantable Cardioverter Defibrillator (ICD),"Feasibility, acceptability and usability of the Choice-ICD intervention, System Usability Scale and focus group. The system usability scale has 10 questions, with responses on a Likert scale 1(strongly disagree) to 5 (strongly agree). The higher the score the more feasible. The focus group will be completed at 6 months., 3 and 6 months after recruitment.","Patients' knowledge, anxiety and device related quality of life pre and post intervention, Brief Illness perception questionnaire. The Brief Illness questionnaire has 8 questions, with responses on a Likert scale 1 to 10 Likert Scale (the higher the score (maximum 30) the more positive the patient's view., Baseline, 3 months and 6 months.|Patients' knowledge, anxiety and device related quality of life pre and post intervention, Implantable Cardioverter Defibrillator concerns questionnaire (ICDC).The validated questionnaire has 20 questions, with responses ranging from not at all to very much. The more worried the patient is, the higher the score ( maximum 100)., Baseline, 3 months and 6 months.|Patients' knowledge, anxiety and device related quality of life pre and post intervention, Experiences, Attitudes and Knowledge of End-of-Life issues in Implantable Cardioverter Defibrillator Questionnaire (EOL-ICDQ). Validated questionnaire with 17 questions, the higher the score indicates the lower level of knowledge on the device, Baseline, 3 months and 6 months.|Patients' knowledge, anxiety and device related quality of life pre and post intervention, Beck Anxiety Inventory (BAI). Validated questionnaire with 21 questions, with responses from ""not at all anxious"" to ""severely anxious"", therefore the higher the scoring the more anxiety., Baseline, 3 months and 6 months.|Patients' knowledge, anxiety and device related quality of life pre and post intervention, Florida Patient Acceptance Survey (FPAS). Validated questionnaire with 18 questions, responses on a Likert scale of 1-5, with lower score indicating higher level of acceptance of device, Baseline, 3 months and 6 months.|Patients' knowledge, anxiety and device related quality of life pre and post intervention, Kansas City Cardiomyopathy questionnaire (KCCQ- 12) quality of life tool. Validated questionnaire with 8 key questions, scores are 0-100, where 0 notes lowest health status and 100 highest possible health status, Baseline, 3 months and 6 months.|Patients' knowledge, anxiety and device related quality of life pre and post intervention, Carer Strain Index (CSI). Validated questionnaire with 12 questions and responses as Yes or No. A score of 7 or higher indicates a high level of stress., Baseline, 3 months and 6 months.",2024-12-02,"Study Protocol, https://cdn.clinicaltrials.gov/large-docs/05/NCT06667505/Prot_000.pdf"
